,n,$/beta_{xz}$,$c_q$,q_d,# perm,nce_style,d_Z,beta_xy,EFF est w,true_w_q_corr,KS pval,KS stat,uniform-dev,p_a=0.001,p_a=0.01,p_a=0.05,p_a=0.1
4,10000,0.5,0.75,2,250,real_weights,1,0.25,7418.4150390625,0.9999999999999998,0.0,1.0,-0.5,1.0,1.0,1.0,1.0
120,5000,0.5,0.75,2,250,real_weights,15,0.5,2395.657470703125,1.0,0.0,1.0,-0.5,1.0,1.0,1.0,1.0
129,5000,0.5,1.0,2,250,real_weights,50,0.5,485.81280517578125,1.0,0.0,1.0,-0.5,1.0,1.0,1.0,1.0
128,5000,0.5,1.0,2,250,real_weights,50,0.25,485.81280517578125,1.0,0.0,1.0,-0.5,1.0,1.0,1.0,1.0
127,5000,0.5,1.0,2,250,real_weights,50,0.1,485.81280517578125,1.0,0.0,1.0,-0.5,1.0,1.0,1.0,1.0
5,10000,0.5,0.75,2,250,real_weights,1,0.5,7418.4150390625,0.9999999999999998,0.0,1.0,-0.5,1.0,1.0,1.0,1.0
125,5000,0.5,0.5,2,250,real_weights,15,0.5,1127.064453125,1.0,0.0,1.0,-0.5,1.0,1.0,1.0,1.0
102,5000,0.5,1.0,2,250,real_weights,3,0.25,4008.005859375,1.0,0.0,1.0,-0.5,1.0,1.0,1.0,1.0
124,5000,0.5,0.5,2,250,real_weights,15,0.25,1127.064453125,1.0,0.0,1.0,-0.5,1.0,1.0,1.0,1.0
123,5000,0.5,0.5,2,250,real_weights,15,0.1,1127.064453125,1.0,0.0,1.0,-0.5,1.0,1.0,1.0,1.0
103,5000,0.5,1.0,2,250,real_weights,3,0.5,4008.005859375,1.0,0.0,1.0,-0.5,1.0,1.0,1.0,1.0
18,10000,0.5,0.75,2,250,real_weights,3,0.5,6495.6376953125,1.0,0.0,1.0,-0.5,1.0,1.0,1.0,1.0
101,5000,0.5,1.0,2,250,real_weights,3,0.1,4008.005859375,1.0,0.0,1.0,-0.5,1.0,1.0,1.0,1.0
71,1000,0.5,0.5,2,250,real_weights,15,0.25,267.5163879394531,0.9999999999999999,0.0,1.0,-0.5,1.0,1.0,1.0,1.0
66,1000,0.5,0.75,2,250,real_weights,15,0.25,580.5677490234375,1.0,0.0,1.0,-0.5,1.0,1.0,1.0,1.0
65,1000,0.5,0.75,2,250,real_weights,15,0.1,580.5677490234375,1.0,0.0,1.0,-0.5,1.0,1.0,1.0,1.0
63,1000,0.5,1.0,2,250,real_weights,15,0.5,546.6392822265625,0.9999999999999999,0.0,1.0,-0.5,1.0,1.0,1.0,1.0
62,1000,0.5,1.0,2,250,real_weights,15,0.25,546.6392822265625,0.9999999999999999,0.0,1.0,-0.5,1.0,1.0,1.0,1.0
59,1000,0.5,0.5,2,250,real_weights,3,0.5,286.2667541503906,0.9999999999999999,0.0,1.0,-0.5,1.0,1.0,1.0,1.0
56,1000,0.5,1.0,2,250,real_weights,1,0.5,604.429443359375,1.0,0.0,1.0,-0.5,1.0,1.0,1.0,1.0
54,1000,0.5,0.75,2,250,real_weights,3,0.5,669.6183471679688,0.9999999999999999,0.0,1.0,-0.5,1.0,1.0,1.0,1.0
53,1000,0.5,0.75,2,250,real_weights,3,0.25,669.6183471679688,0.9999999999999999,0.0,1.0,-0.5,1.0,1.0,1.0,1.0
49,10000,0.5,0.5,2,250,real_weights,50,0.5,1848.161865234375,1.0,0.0,1.0,-0.5,1.0,1.0,1.0,1.0
48,10000,0.5,0.5,2,250,real_weights,50,0.25,1848.161865234375,1.0,0.0,1.0,-0.5,1.0,1.0,1.0,1.0
47,10000,0.5,0.5,2,250,real_weights,50,0.1,1848.161865234375,1.0,0.0,1.0,-0.5,1.0,1.0,1.0,1.0
46,1000,0.5,1.0,2,250,real_weights,3,0.5,731.4713745117188,1.0,0.0,1.0,-0.5,1.0,1.0,1.0,1.0
35,1000,0.5,1.0,2,250,real_weights,3,0.25,731.4713745117188,1.0,0.0,1.0,-0.5,1.0,1.0,1.0,1.0
44,10000,0.5,0.75,2,250,real_weights,50,0.5,1674.172119140625,0.9999999999999998,0.0,1.0,-0.5,1.0,1.0,1.0,1.0
43,10000,0.5,0.75,2,250,real_weights,50,0.25,1674.172119140625,0.9999999999999998,0.0,1.0,-0.5,1.0,1.0,1.0,1.0
42,10000,0.5,0.75,2,250,real_weights,50,0.1,1674.172119140625,0.9999999999999998,0.0,1.0,-0.5,1.0,1.0,1.0,1.0
40,10000,0.5,1.0,2,250,real_weights,50,0.5,1369.9832763671875,0.9999999999999998,0.0,1.0,-0.5,1.0,1.0,1.0,1.0
68,1000,0.5,0.75,2,250,real_weights,15,0.5,580.5677490234375,1.0,0.0,1.0,-0.5,1.0,1.0,1.0,1.0
75,1000,0.5,1.0,2,250,real_weights,50,0.25,218.8770751953125,1.0,0.0,1.0,-0.5,1.0,1.0,1.0,1.0
100,1000,0.5,0.75,2,250,real_weights,1,0.5,751.1193237304688,1.0,0.0,1.0,-0.5,1.0,1.0,1.0,1.0
76,1000,0.5,1.0,2,250,real_weights,50,0.5,218.8770751953125,1.0,0.0,1.0,-0.5,1.0,1.0,1.0,1.0
